mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_n_estimators,params,split0_test_AUC,split1_test_AUC,split2_test_AUC,split3_test_AUC,split4_test_AUC,mean_test_AUC,std_test_AUC,rank_test_AUC,split0_train_AUC,split1_train_AUC,split2_train_AUC,split3_train_AUC,split4_train_AUC,mean_train_AUC,std_train_AUC,split0_test_Accuracy,split1_test_Accuracy,split2_test_Accuracy,split3_test_Accuracy,split4_test_Accuracy,mean_test_Accuracy,std_test_Accuracy,rank_test_Accuracy,split0_train_Accuracy,split1_train_Accuracy,split2_train_Accuracy,split3_train_Accuracy,split4_train_Accuracy,mean_train_Accuracy,std_train_Accuracy
1.1170729160308839,0.002463418184563357,0.0058039665222167965,3.9445876567946266e-05,0.1,100,"{'learning_rate': 0.1, 'n_estimators': 100}",0.971628,0.9716935,0.971703,0.9700319999999999,0.973346,0.9716805000000001,0.001048319989316286,9,0.97968725,0.9794362812499999,0.9804154999999999,0.9790044999999999,0.98038175,0.9797850562499999,0.0005466225161446061,0.9175,0.916,0.9265,0.92,0.923,0.9206,0.003786819245752293,15,0.93275,0.933625,0.93025,0.930625,0.933125,0.932075,0.0013706750161872694
1.6766217231750489,0.0038929522571149776,0.00714406967163086,7.832862791540857e-05,0.1,150,"{'learning_rate': 0.1, 'n_estimators': 150}",0.9720015,0.9736275,0.9719275,0.9714915,0.9735615,0.9725218999999999,0.0008931932825542253,4,0.9829266875,0.9830818750000001,0.9836694062500001,0.9828341875000001,0.9833008749999999,0.98316260625,0.0002986632062729677,0.919,0.919,0.925,0.923,0.923,0.9218,0.0024000000000000024,13,0.937375,0.938625,0.937375,0.937875,0.938125,0.937875,0.0004743416490252866
2.237386417388916,0.003268518891824281,0.008393573760986327,8.981002238198523e-05,0.1,200,"{'learning_rate': 0.1, 'n_estimators': 200}",0.9720755,0.97396,0.9716474999999999,0.9720685,0.9739855000000001,0.9727474,0.0010124648339572627,3,0.9857081875,0.9856410625,0.98576746875,0.9853462187500001,0.98532871875,0.98555833125,0.00018479905958057713,0.9215,0.92,0.9265,0.922,0.926,0.9231999999999999,0.002580697580112783,9,0.9415,0.94325,0.941375,0.94125,0.942,0.9418749999999999,0.0007331439149307692
5.595960807800293,0.01406129991863623,0.015679264068603517,0.00027904552054227596,0.1,500,"{'learning_rate': 0.1, 'n_estimators': 500}",0.9729145000000001,0.9739300000000001,0.9723879999999998,0.973066,0.9753919999999999,0.9735381000000001,0.0010511913431911508,2,0.9942824375,0.99403609375,0.9942038125,0.9944883437500001,0.9942604687500001,0.99425423125,0.00014544358415509166,0.925,0.9235,0.9265,0.9245,0.927,0.9253,0.0012884098726725257,2,0.967,0.96425,0.965,0.965625,0.963375,0.96505,0.0012313610356024605
0.012388944625854492,5.070081939893536e-05,0.0021311283111572266,1.849648816647132e-05,0.05,1,"{'learning_rate': 0.05, 'n_estimators': 1}",0.944232,0.9411894999999999,0.94252,0.9432275,0.937634,0.9417606,0.0022887238671364537,31,0.9450885625,0.9439774999999999,0.94504384375,0.94504609375,0.94493721875,0.94481864375,0.0004235298130924772,0.8915,0.8835,0.8865,0.89,0.8765,0.8855999999999999,0.005332916650389367,31,0.887625,0.8915,0.89075,0.889375,0.889125,0.8896750000000001,0.0013476831971943463
0.557152795791626,0.0005350799524988396,0.004197025299072265,5.008075185901907e-05,0.05,50,"{'learning_rate': 0.05, 'n_estimators': 50}",0.9667015000000001,0.9644175,0.969481,0.9657415,0.9673155,0.9667314000000001,0.0016873886452148453,17,0.9699016874999999,0.9699179375000001,0.9693198437500001,0.97020784375,0.9697896875,0.9698274000000001,0.00028895975430733023,0.9055,0.907,0.914,0.911,0.909,0.9093,0.00299332590941917,26,0.913125,0.91725,0.912,0.915,0.913125,0.9141,0.0018462800437636824
1.11344256401062,0.0006137255011136984,0.006184244155883789,4.473169708035358e-05,0.05,100,"{'learning_rate': 0.05, 'n_estimators': 100}",0.9699745,0.9688169999999999,0.9712609999999999,0.9672034999999999,0.9717709999999999,0.9698053999999999,0.001658780738976692,13,0.9743555937499999,0.97457309375,0.9743414375,0.97416903125,0.9743317499999999,0.9743541812500001,0.00012874064195360875,0.9135,0.911,0.922,0.913,0.916,0.9151000000000001,0.0038000000000000082,22,0.920125,0.921125,0.919375,0.919,0.92025,0.919975,0.000739087274954696
1.6740813255310059,0.006440112644613128,0.00790104866027832,5.7698399556856075e-05,0.05,150,"{'learning_rate': 0.05, 'n_estimators': 150}",0.9714674999999999,0.9700660000000001,0.9711845000000001,0.969337,0.973414,0.9710937999999999,0.001390965513591172,11,0.977350125,0.97704340625,0.97778646875,0.97703653125,0.9777061249999999,0.9773845312499999,0.00031737370704243537,0.9165,0.916,0.926,0.917,0.9205,0.9192,0.0037496666518505423,17,0.926875,0.92825,0.925125,0.927375,0.928,0.927125,0.0011096170510586252
2.234350633621216,0.0058294601961195605,0.009356260299682617,7.832926653255293e-05,0.05,200,"{'learning_rate': 0.05, 'n_estimators': 200}",0.9718770000000001,0.9717815000000001,0.9708919999999999,0.9701449999999999,0.974017,0.9717425000000001,0.0013014083140967406,8,0.9792172500000002,0.9795146875,0.9801060624999999,0.97920328125,0.9799373749999999,0.9795957312499999,0.0003690505616188452,0.9195,0.9165,0.9295,0.92,0.924,0.9218999999999999,0.0044877611344633795,12,0.9295,0.93225,0.92925,0.932,0.932375,0.9310749999999999,0.0013955285736952847
5.596043348312378,0.009186887963960853,0.01700897216796875,0.00028366242190824403,0.05,500,"{'learning_rate': 0.05, 'n_estimators': 500}",0.972869,0.9746135,0.972034,0.9729510000000001,0.9752645,0.9735464,0.0011992744223070875,1,0.987602875,0.9875649687499999,0.9872725937500001,0.9871484999999999,0.98724453125,0.9873666937500001,0.00018247276915850307,0.9225,0.921,0.9265,0.925,0.9305,0.9251000000000001,0.0033075670817082343,4,0.94525,0.946,0.945625,0.945,0.945,0.945375,0.0003872983346207492
