mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_min_samples_leaf,param_min_samples_split,params,split0_test_AUC,split1_test_AUC,split2_test_AUC,split3_test_AUC,split4_test_AUC,mean_test_AUC,std_test_AUC,rank_test_AUC,split0_train_AUC,split1_train_AUC,split2_train_AUC,split3_train_AUC,split4_train_AUC,mean_train_AUC,std_train_AUC,split0_test_Accuracy,split1_test_Accuracy,split2_test_Accuracy,split3_test_Accuracy,split4_test_Accuracy,mean_test_Accuracy,std_test_Accuracy,rank_test_Accuracy,split0_train_Accuracy,split1_train_Accuracy,split2_train_Accuracy,split3_train_Accuracy,split4_train_Accuracy,mean_train_Accuracy,std_train_Accuracy
4.40211853981018,0.031242300016678024,0.014530086517333984,0.00027004970997931255,3,5,"{'min_samples_leaf': 3, 'min_samples_split': 5}",0.9717529999999999,0.973368,0.974944,0.9737849999999999,0.976046,0.9739791999999999,0.0014539426948817862,20,0.9954488750000001,0.99587,0.9961390625000001,0.995776875,0.99549509375,0.99574598125,0.0002537970073454303,0.9245,0.928,0.9325,0.924,0.9355,0.9289,0.004487761134463365,10,0.967125,0.967,0.967,0.966375,0.9665,0.9667999999999999,0.0003020761493398586
4.38388204574585,0.019062462841638705,0.014450359344482421,0.00016160688754705938,3,6,"{'min_samples_leaf': 3, 'min_samples_split': 6}",0.9717529999999999,0.973368,0.974944,0.9737849999999999,0.976046,0.9739791999999999,0.0014539426948817862,20,0.9954488750000001,0.99587,0.9961390625000001,0.995776875,0.99549509375,0.99574598125,0.0002537970073454303,0.9245,0.928,0.9325,0.924,0.9355,0.9289,0.004487761134463365,10,0.967125,0.967,0.967,0.966375,0.9665,0.9667999999999999,0.0003020761493398586
4.387355470657349,0.03651277870848297,0.014478111267089843,0.00021939788058768605,3,7,"{'min_samples_leaf': 3, 'min_samples_split': 7}",0.971527,0.973012,0.9744275000000001,0.9735669999999998,0.9755790000000001,0.9736225,0.0013596196526970638,42,0.9958185625,0.9956472500000001,0.9961578125,0.99574678125,0.9954608125000002,0.99576624375,0.0002297345805488931,0.925,0.927,0.9325,0.927,0.9315,0.9286,0.002887905815638707,16,0.968875,0.96675,0.967875,0.96625,0.9675,0.96745,0.0009103570728016595
4.378895378112793,0.02562865619947939,0.014546489715576172,0.00033419443075162253,3,8,"{'min_samples_leaf': 3, 'min_samples_split': 8}",0.9727645,0.9729690000000001,0.9748695000000003,0.9730699999999999,0.975842,0.9739030000000002,0.0012293307528895923,27,0.995761875,0.9952634375,0.9959157500000001,0.9955330000000001,0.9953727499999999,0.9955693625,0.0002410867789822128,0.9245,0.927,0.931,0.9235,0.935,0.9282,0.004273172123844325,28,0.968375,0.965,0.96675,0.9655,0.966375,0.9663999999999999,0.0011656543226874756
4.376095533370972,0.006259470281216731,0.014401626586914063,0.0002492692138614002,4,2,"{'min_samples_leaf': 4, 'min_samples_split': 2}",0.9721329999999999,0.972547,0.974431,0.9737099999999999,0.9755364999999999,0.9736714999999998,0.001240002419352471,35,0.9954310937499999,0.99501125,0.9955757812499999,0.9954895625000001,0.9949721562500001,0.99529596875,0.0002529630971418554,0.9255,0.924,0.932,0.926,0.9305,0.9276,0.0030886890422960997,29,0.966875,0.96575,0.9665,0.96475,0.965125,0.9658000000000001,0.0008007808689023628
4.383026742935181,0.02878965574114878,0.014370393753051759,0.00017789198666603965,4,3,"{'min_samples_leaf': 4, 'min_samples_split': 3}",0.9721329999999999,0.972547,0.974431,0.9737099999999999,0.9755364999999999,0.9736714999999998,0.001240002419352471,35,0.9954310937499999,0.99501125,0.9955757812499999,0.9954895625000001,0.9949721562500001,0.99529596875,0.0002529630971418554,0.9255,0.924,0.932,0.926,0.9305,0.9276,0.0030886890422960997,29,0.966875,0.96575,0.9665,0.96475,0.965125,0.9658000000000001,0.0008007808689023628
4.39465298652649,0.02696213523237986,0.014380931854248047,0.0001401330221748607,4,4,"{'min_samples_leaf': 4, 'min_samples_split': 4}",0.9721329999999999,0.972547,0.974431,0.9737099999999999,0.9755364999999999,0.9736714999999998,0.001240002419352471,35,0.9954310937499999,0.99501125,0.9955757812499999,0.9954895625000001,0.9949721562500001,0.99529596875,0.0002529630971418554,0.9255,0.924,0.932,0.926,0.9305,0.9276,0.0030886890422960997,29,0.966875,0.96575,0.9665,0.96475,0.965125,0.9658000000000001,0.0008007808689023628
4.399321985244751,0.018132977665142727,0.014372301101684571,0.00016706018249141314,4,5,"{'min_samples_leaf': 4, 'min_samples_split': 5}",0.9721329999999999,0.972547,0.974431,0.9737099999999999,0.9755364999999999,0.9736714999999998,0.001240002419352471,35,0.9954310937499999,0.99501125,0.9955757812499999,0.9954895625000001,0.9949721562500001,0.99529596875,0.0002529630971418554,0.9255,0.924,0.932,0.926,0.9305,0.9276,0.0030886890422960997,29,0.966875,0.96575,0.9665,0.96475,0.965125,0.9658000000000001,0.0008007808689023628
4.401918363571167,0.03952458940056319,0.014446306228637695,0.00021747796832679973,4,6,"{'min_samples_leaf': 4, 'min_samples_split': 6}",0.9721329999999999,0.972547,0.974431,0.9737099999999999,0.9755364999999999,0.9736714999999998,0.001240002419352471,35,0.9954310937499999,0.99501125,0.9955757812499999,0.9954895625000001,0.9949721562500001,0.99529596875,0.0002529630971418554,0.9255,0.924,0.932,0.926,0.9305,0.9276,0.0030886890422960997,29,0.966875,0.96575,0.9665,0.96475,0.965125,0.9658000000000001,0.0008007808689023628
4.383847904205322,0.01965903772939489,0.014425992965698242,0.00011290865554678965,4,7,"{'min_samples_leaf': 4, 'min_samples_split': 7}",0.9721329999999999,0.972547,0.974431,0.9737099999999999,0.9755364999999999,0.9736714999999998,0.001240002419352471,35,0.9954310937499999,0.99501125,0.9955757812499999,0.9954895625000001,0.9949721562500001,0.99529596875,0.0002529630971418554,0.9255,0.924,0.932,0.926,0.9305,0.9276,0.0030886890422960997,29,0.966875,0.96575,0.9665,0.96475,0.965125,0.9658000000000001,0.0008007808689023628
